year,amoc_reconstructed
1871,17.571572731669896
1872,17.327453915628524
1873,17.60098434756786
1874,17.64819390974797
1875,17.6027364470992
1876,17.591482429088607
1877,17.469214346206073
1878,17.46395612434143
1879,17.643202060863672
1880,17.378706192643854
1881,17.502266713380465
1882,17.41647345773382
1883,17.243535848832657
1884,17.363588323965352
1885,17.38648005247446
1886,17.587773401705302
1887,17.73862897902677
1888,18.06219810422262
1889,17.570634175609197
1890,17.60353748931084
1891,17.879297953529633
1892,17.67034421743454
1893,17.794888491091328
1894,17.4470515372605
1895,17.45800264014904
1896,17.45877194839551
1897,17.51601136683901
1898,17.560026376525645
1899,17.762732368024075
1900,17.742478405165063
1901,17.496276687046368
1902,17.66742565427448
1903,17.356569347851597
1904,17.347915591714088
1905,17.429723830644008
1906,17.482252197713166
1907,17.813007623566378
1908,17.66390895395279
1909,17.71045691104094
1910,17.789267732715537
1911,17.7003616635766
1912,17.19427896508162
1913,17.10913577490324
1914,17.186656081994382
1915,17.51806349658648
1916,17.69540924173993
1917,17.83456748717378
1918,17.918053779716317
1919,17.35169001029834
1920,17.331694727337208
1921,17.08947033285278
1922,17.339823430596503
1923,17.410792116333617
1924,17.64107684683279
1925,17.458399795531278
1926,17.437929464727947
1927,17.646270639131785
1928,17.434021378835865
1929,17.56082453383136
1930,17.16662810343277
1931,17.629124681588525
1932,17.70511118036326
1933,17.53450072890768
1934,17.533395809938682
1935,17.547413567824726
1936,17.682622377048247
1937,17.36077554068919
1938,17.626164768110222
1939,17.566304893452173
1940,17.491918555830097
1941,17.445289821376072
1942,17.502586937938062
1943,17.427036059957892
1944,17.608300468991814
1945,17.712352294233185
1946,17.360908246361703
1947,17.111540824808777
1948,17.275741976935933
1949,17.180303519149135
1950,17.28982801092885
1951,17.73471704659346
1952,17.499057736357365
1953,17.88884122232713
1954,17.51687106880445
1955,17.806397342458563
1956,17.87205395475378
1957,17.443065558908458
1958,17.59420674191643
1959,17.26825756933306
1960,17.220638350511702
1961,17.112418797845066
1962,17.40109979406337
1963,17.379450498372314
1964,17.26883839705915
1965,17.694541846692033
1966,17.321214825749635
1967,17.585006776923926
1968,17.437369792978636
1969,16.95718874150709
1970,17.151388107070144
1971,17.146157772629437
1972,17.000818135435175
1973,16.69924834118253
1974,16.928819538283093
1975,16.98318174388479
1976,17.16536162973201
1977,16.92254005972126
1978,17.13095431840852
1979,17.104678595250242
1980,16.954722146941833
1981,17.312636077166154
1982,17.16618094301451
1983,16.84647566848657
1984,16.98582527934673
1985,16.843014743012752
1986,16.832845449629687
1987,16.962862389824828
1988,16.640270286102
1989,16.69983205381454
1990,16.72529134859625
1991,16.80320977270494
1992,17.057105534923668
1993,16.47104747439599
1994,16.64722675592073
1995,16.941259252628562
1996,17.10527865568249
1997,17.28899811965797
1998,17.251048143859464
1999,17.33122448767155
2000,17.420787353725913
2001,17.147543489108397
2002,17.362030474766247
2003,17.169440886708934
2004,17.833333333333332
2005,18.923333333333336
2006,19.131666666666668
2007,18.195833333333333
2008,17.42833333333333
2009,15.149166666666666
2010,15.368333333333334
2011,17.008333333333333
2012,15.738333333333332
2013,16.651666666666667
2014,16.88416666666667
2015,17.463333333333335
2016,17.1775
2017,17.5075
2018,18.131666666666668
2019,16.338333333333335
2020,16.926666666666666
2021,16.2575
2022,15.57625
