year,discharge_km3
1936,3.323670372718686
1937,3.018254397363281
1938,4.448805119686889
1939,4.060972793572998
1940,4.411179856789511
1941,22.030868159472657
1942,20.12800319637451
1943,7.247845443493652
1944,3.796038294917622
1945,7.345762560296631
1946,25.27042752125244
1947,19.426141439868164
1948,20.649738334229017
1949,11.045410558483887
1950,5.609243519604492
1951,4.226152319769287
1952,3.97026631700724
1953,7.490767679077149
1954,5.662517762438965
1955,3.383709119604492
1956,6.764489231784382
1957,24.709510086657716
1958,9.744909114001466
1959,10.295320311694336
1960,9.850605639344263
1961,5.805656641186524
1962,7.666583037231446
1963,11.406674881713869
1964,12.755743318164262
1965,6.523001282373047
1966,10.66778207677002
1967,2.808708487316894
1968,5.505074083010814
1969,6.396442557495117
1970,20.6388432
1971,17.019106559472654
1972,7.976979504137383
1973,5.255841597692871
1974,8.363036160131836
1975,3.5548415976928713
1976,5.495018754591395
1977,3.977406721252441
1978,7.188315843823243
1979,7.261755832946777
1980,8.31308778046755
1981,11.3210611225708
1982,6.796180801977538
1983,10.092219840197755
1984,3.515815957335926
1985,9.673680959802246
1986,8.399151358813477
1987,12.3031007967041
1988,10.19178897088623
